,,,,CUSIP,Maturity,Coupon,Yield (SAO),FY,Qty,Principal per bond,Int per bnd (last year),P+I per bnd,,Adj Ask per bond,Adj ask cost,Acc int cost,Total cost,Principal,Intererest (last year),P+I,Interest later maturities,Interest total, ARA,Interest annual,,Modified duration,Duration
2034,Jan 2036,,,912810RL4,Feb 2045,0.750%,2.37%,2045,33,"1,376",5,"1,381",,"1,037","34,228",2,"34,230","45,416",170,"45,587","2,026","2,196","47,613",341,,17.3,17.5
2035,,,,912810RR1,Feb 2046,1.000%,2.40%,2046,33,"1,368",7,"1,375",,"1,065","35,147",2,"35,150","45,136",226,"45,362","1,574","1,800","46,936",451,,17.6,17.9
2036,,,,912810RW0,Feb 2047,0.875%,2.43%,2047,34,"1,343",6,"1,348",,"1,002","34,056",2,"34,058","45,647",200,"45,847","1,175","1,375","47,022",399.41,,18.6,18.9
2037,,,,912810SB5,Feb 2048,1.000%,2.44%,2048,35,"1,314",7,"1,321",,994,"34,786",3,"34,789","45,998",230,"46,228",715,945,"46,943",460,,19.1,19.4
2038,,,,912810SG4,Feb 2049,1.000%,2.45%,2049,37,"1,288",6,"1,294",,960,"35,535",3,"35,538","47,653",238,"47,891",239,477,"48,129",477,,19.9,20.1
2039,,,,912810SM1,Feb 2050,0.250%,2.47%,2050,38,"1,261",2,"1,262",,756,"28,730",1,"28,730","47,901",60,"47,961",119,179,"48,080",120,,22.7,23.0
2040,,,,912810SV1,Feb 2051,0.125%,2.47%,2051,38,"1,245",1,"1,246",,702,"26,683",0,"26,684","47,302",30,"47,332",60,89,"47,391",59,,24.1,24.4
2041,,,,912810TE8,Feb 2052,0.125%,2.47%,2052,41,"1,164",1,"1,165",,642,"26,340",0,"26,340","47,732",30,"47,762",0,30,"47,762",60,,25.1,25.4
2042,,,,912810TP3,Feb 2053,1.500%,2.48%,,,"1,090",8,"1,098",,881,,,,0,0,0,,0,0,0,,21.4,21.6
2043,,,,912810TY4,Feb 2054,2.125%,2.48%,,,"1,056",11,"1,067",,981,,,,0,0,0,,0,0,0,,20.7,20.9
2044,,,,912810UH9,Feb 2055,2.375%,2.46%,,,"1,027",12,"1,039",,"1,008",,,,0,0,0,,0,0,0,,20.8,21.0
2045,,,,,,,,,,"1,000",0,"1,000",,"1,000",,,,0,0,0,,0,0,0,,,
2046,,,,,,,,,,"1,000",0,"1,000",,"1,000",,,,0,0,0,,0,0,0,,,
2047,,,,,,,,,,"1,000",0,"1,000",,"1,000",,,,0,0,0,,0,0,0,,,
2048,,,,,,,,,,,,,,,"976,939","1,337","978,276","1,117,884","8,830","1,126,714","155,081","163,911","1,281,795","13,001",,#NUM!,#NUM!
2049,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,,,,,,,,,,,,,,,,,,,,,,,,,,,
2051,,,,,,,,,,,,,,,,,,,,,,,,,,,
2052,,,,,,,,,,,,,,,,,,,,,,,,,,,
2053,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054,,,,,,,,,,,,,,,,,,,,,,,,,,,
2055,,,,,,,,,,,,,,,,,,,,,,,,,,,
